127.0.0.1, 2018-05-23 11:31:38, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000498
127.0.0.1, 2018-05-23 11:31:38, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001192
127.0.0.1, 2018-05-23 11:31:38, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.001078
127.0.0.1, 2018-05-23 11:31:38, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.001873
127.0.0.1, 2018-05-23 11:31:38, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.001735
127.0.0.1, 2018-05-23 11:31:38, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002681
127.0.0.1, 2018-05-23 11:31:38, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001140
127.0.0.1, 2018-05-23 11:31:38, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.001721
127.0.0.1, 2018-05-23 11:31:44, GET, /start/default/user/login, HTTP/1.1, 200, 0.043968
127.0.0.1, 2018-05-23 11:31:47, POST, /start/default/user/login, HTTP/1.1, 303, 0.034615
127.0.0.1, 2018-05-23 11:31:47, GET, /start/default/user/login, HTTP/1.1, 200, 0.033619
127.0.0.1, 2018-05-23 11:31:49, GET, /start/default/user/register, HTTP/1.1, 200, 0.021269
127.0.0.1, 2018-05-23 11:32:00, POST, /start/default/user/register, HTTP/1.1, 303, 0.052193
127.0.0.1, 2018-05-23 11:32:00, GET, /start/default/index, HTTP/1.1, 200, 0.025734
127.0.0.1, 2018-05-23 11:32:00, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.000562
127.0.0.1, 2018-05-23 11:32:00, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001600
127.0.0.1, 2018-05-23 12:15:54, GET, /start/default/user/logout, HTTP/1.1, 303, 0.029651
127.0.0.1, 2018-05-23 12:15:54, GET, /start/default/index, HTTP/1.1, 200, 0.041843
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000484
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000439
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000399
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000565
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000475
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000577
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000305
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000269
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.000249
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.000268
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000559
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000431
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000593
127.0.0.1, 2018-05-23 12:15:54, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000422
127.0.0.1, 2018-05-23 12:21:18, GET, /, HTTP/1.1, 303, 15.014683
127.0.0.1, 2018-05-23 12:21:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.218329
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000345
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000381
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000448
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000325
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000352
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000318
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000279
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000425
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.000438
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000572
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000537
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.001533
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000475
127.0.0.1, 2018-05-23 12:21:25, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.061571
127.0.0.1, 2018-05-23 12:21:25, GET, /start/default/index, HTTP/1.1, 200, 0.238415
127.0.0.1, 2018-05-23 12:21:27, GET, /start_lectures/default/index, HTTP/1.1, 200, 0.093915
127.0.0.1, 2018-05-23 12:21:27, GET, /start_lectures/static/css/custom.css, HTTP/1.1, 200, 0.000668
