127.0.0.1, 2018-06-01 16:02:33, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000407
127.0.0.1, 2018-06-01 16:02:36, GET, /start/default/user/register, HTTP/1.1, 200, 0.021101
127.0.0.1, 2018-06-01 16:02:47, POST, /start/default/user/register, HTTP/1.1, 303, 0.036186
127.0.0.1, 2018-06-01 16:02:47, GET, /start/default/index, HTTP/1.1, 200, 0.026192
127.0.0.1, 2018-06-01 16:02:48, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.000486
127.0.0.1, 2018-06-01 16:02:48, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.038230
127.0.0.1, 2018-06-01 16:02:48, GET, /start/default/get_products, HTTP/1.1, 200, 0.030950
127.0.0.1, 2018-06-01 16:02:55, GET, /start/default/product_management, HTTP/1.1, 200, 0.027443
127.0.0.1, 2018-06-01 16:02:57, GET, /start/default/product_management/new/product, HTTP/1.1, 200, 0.022103
127.0.0.1, 2018-06-01 16:03:22, POST, /start/default/product_management/new/product, HTTP/1.1, 303, 0.064869
127.0.0.1, 2018-06-01 16:03:22, GET, /start/default/product_management, HTTP/1.1, 200, 0.056881
127.0.0.1, 2018-06-01 16:03:22, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000527
127.0.0.1, 2018-06-01 16:03:22, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000469
127.0.0.1, 2018-06-01 16:03:22, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000929
127.0.0.1, 2018-06-01 16:03:22, GET, /start/static/js/sugar.min.js, HTTP/1.1, 304, 0.001164
127.0.0.1, 2018-06-01 16:03:27, GET, /start/default/index, HTTP/1.1, 200, 0.042476
127.0.0.1, 2018-06-01 16:03:27, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.000430
127.0.0.1, 2018-06-01 16:03:27, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.000421
127.0.0.1, 2018-06-01 16:03:27, GET, /start/default/get_products, HTTP/1.1, 200, 0.043652
