127.0.0.1, 2018-04-21 13:48:12, POST, /admin/default/check_version, HTTP/1.1, 200, 0.298109
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000603
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000515
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.002768
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001348
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.006281
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002905
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002649
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001239
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000643
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002132
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.005770
127.0.0.1, 2018-04-21 13:51:49, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.003289
127.0.0.1, 2018-04-21 13:51:49, GET, /start/, HTTP/1.1, 200, 0.037618
127.0.0.1, 2018-04-21 13:51:49, GET, /start/, HTTP/1.1, 200, 0.057534
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000682
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001640
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002570
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.002483
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000686
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000935
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.003818
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001242
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000989
127.0.0.1, 2018-04-21 13:51:50, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.003781
